Business_ID,Cuisine_Type,Number_of_Reviews,Rating,Recommended
44SY464xDHbvOcjDzRbKkQ,Korean,9709,4,1
44SY464xDHbvOcjDzRbKkQ,Korean,9709,4,1
H4jJ7XB3CetIr1pg56CczQ,France,7458,4.5,1
H4jJ7XB3CetIr1pg56CczQ,France,7458,4.5,1
WIhm0W9197f_rRtDziq5qQ,Italian,5826,4,1
WIhm0W9197f_rRtDziq5qQ,Italian,5826,4,1
0CjK3esfpFcxIopebzjFxA,Chinese,5687,4,1
0CjK3esfpFcxIopebzjFxA,Chinese,5687,4,1
4yPqqJDJOQX69gC66YUDkA,American,5294,4,1
4yPqqJDJOQX69gC66YUDkA,American,5294,4,1
a0IET3_yCFcO36OqGSsisg,Italian,5249,4,1
a0IET3_yCFcO36OqGSsisg,Italian,5249,4,1
-134ZvJ4lgiqx-sjRBWQ9g,Korean,5161,4,1
-134ZvJ4lgiqx-sjRBWQ9g,Korean,5161,4,1
UA2M9QFZghe-9th2KwLoWQ,American,4996,4,1
UA2M9QFZghe-9th2KwLoWQ,France,4996,4,1
UA2M9QFZghe-9th2KwLoWQ,American,4996,4,1
UA2M9QFZghe-9th2KwLoWQ,France,4996,4,1
nU4XBdvxDABXqZ6CnB8Dig,American,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,Mexican,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,France,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,American,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,France,4603,4,1
nU4XBdvxDABXqZ6CnB8Dig,Mexican,4603,4,1
jjJc_CrkB2HodEinB6cWww,Chinese,4140,4,1
jjJc_CrkB2HodEinB6cWww,Chinese,4140,4,1
ga6sRtE0l85iftw_5-W84Q,France,4120,4,1
ga6sRtE0l85iftw_5-W84Q,France,4120,4,1
U5hCNNyJmb7f3dmC1HTzSQ,American,4038,4,1
U5hCNNyJmb7f3dmC1HTzSQ,American,4038,4,1
_tHF8-3rbyMesgdkQzB2yQ,American,3884,3,1
_tHF8-3rbyMesgdkQzB2yQ,France,3884,3,1
nI1UYDCYUTt23TpGxqnLKg,Chinese,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,American,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,Korean,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,American,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,Chinese,3735,4,1
nI1UYDCYUTt23TpGxqnLKg,Korean,3735,4,1
xt4sa64WOrpJvZBDPNPNYg,France,3631,4,1
xt4sa64WOrpJvZBDPNPNYg,France,3631,4,1
xt4sa64WOrpJvZBDPNPNYg,American,3630,4,1
xt4sa64WOrpJvZBDPNPNYg,American,3630,4,1
TN4RnyqHMSupRFot4Q-_EA,Korean,3429,4,1
TN4RnyqHMSupRFot4Q-_EA,Korean,3429,4,1
22nKUyCIbpnzR6R3_g1ptQ,Italian,3325,4,1
22nKUyCIbpnzR6R3_g1ptQ,Italian,3325,4,1
kBZggrnSP1kcUMnsnfkTaQ,Chinese,3320,4,1
kBZggrnSP1kcUMnsnfkTaQ,Chinese,3320,4,1
pfmAcS-g6SiNG0KlLvrqnA,American,3236,4,1
pfmAcS-g6SiNG0KlLvrqnA,American,3236,4,1
NOh24SMS6k4pzNv8Ds7KDg,Mexican,3090,4,1
NOh24SMS6k4pzNv8Ds7KDg,Mexican,3090,4,1
uoT2_Wrt1noD6kZOID7tUg,American,3037,4,1
uoT2_Wrt1noD6kZOID7tUg,American,3037,4,1
t1w4qyqyfEdTPhoy-5t3FA,Korean,2930,4,1
t1w4qyqyfEdTPhoy-5t3FA,Korean,2930,4,1
KgpOYAG-r_eDsQXFXt0nnQ,American,2905,4,1
KgpOYAG-r_eDsQXFXt0nnQ,France,2905,4,1
KgpOYAG-r_eDsQXFXt0nnQ,American,2905,4,1
KgpOYAG-r_eDsQXFXt0nnQ,France,2905,4,1
dMhRafXdr765DHe0k-QfaQ,American,2862,4,1
dMhRafXdr765DHe0k-QfaQ,France,2862,4,1
dMhRafXdr765DHe0k-QfaQ,American,2862,4,1
dMhRafXdr765DHe0k-QfaQ,France,2862,4,1
XzUW9MvEGOFs9_aNj11j2Q,Korean,2829,4,1
Hh9glEE_xDYT_pPUsRPXlA,Mexican,2783,4,1
Hh9glEE_xDYT_pPUsRPXlA,Mexican,2783,4,1
b8a-8u_A51v2IzyjLVsx6w,American,2752,4.5,1
b8a-8u_A51v2IzyjLVsx6w,American,2752,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,American,2731,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,France,2731,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,American,2731,4.5,1
veq1Bl1DW3UWMekZJUsG1Q,France,2731,4.5,1
P4hm-IKNMbBbtfWSvPf25A,American,2715,4,1
P4hm-IKNMbBbtfWSvPf25A,Italian,2715,4,1
P4hm-IKNMbBbtfWSvPf25A,American,2715,4,1
P4hm-IKNMbBbtfWSvPf25A,Italian,2715,4,1
j9TdOBSQ1LRw8v3hW5fObQ,Korean,2702,4,1
jVncyqXwlx_D9f2xZn05tg,France,2675,4.5,1
jVncyqXwlx_D9f2xZn05tg,France,2675,4.5,1
zj8Lq1T8KIC5zwFief15jg,Italian,2674,4.5,1
zj8Lq1T8KIC5zwFief15jg,Italian,2674,4.5,1
jnEv25Y2DosTq2sNnvmC9g,Mexican,2632,4.5,1
jnEv25Y2DosTq2sNnvmC9g,Mexican,2632,4.5,1
FhXjAc6nKLf414KxYujUHw,Italian,2629,4,1
FhXjAc6nKLf414KxYujUHw,Italian,2629,4,1
ogCC-lJJYnwXDvKGmKZ6Sw,Korean,2515,4,1
iBm8YTqNwrddsxWdqLPK-A,Mexican,2514,4,1
iBm8YTqNwrddsxWdqLPK-A,Mexican,2514,4,1
B3_K2kUVbYOU0VaLcj_LTw,Chinese,2501,4.5,1
B3_K2kUVbYOU0VaLcj_LTw,Korean,2501,4.5,1
B3_K2kUVbYOU0VaLcj_LTw,France,2501,4.5,1
B3_K2kUVbYOU0VaLcj_LTw,Chinese,2501,4.5,1
B3_K2kUVbYOU0VaLcj_LTw,France,2501,4.5,1
B3_K2kUVbYOU0VaLcj_LTw,Korean,2501,4.5,1
H9GD7km7riFooM0FkdwOPg,Mexican,2459,4,1
H9GD7km7riFooM0FkdwOPg,Mexican,2459,4,1
IhSVn0TaX8xXb3wcQ-fgcA,Chinese,2442,4,1
IhSVn0TaX8xXb3wcQ-fgcA,Chinese,2442,4,1
ETgJqJHV7BW6pIr9Ox74sA,American,2428,4.5,1
Ck4qyOc_m6uxz0uC3l-NTA,Mexican,1,1,0
Am3d5H-4PvOYGJOaFKj29Q,Korean,1,1,0
Am3d5H-4PvOYGJOaFKj29Q,Korean,1,1,0
Ck4qyOc_m6uxz0uC3l-NTA,Mexican,1,1,0
He-1iF79RBPcf0K-GsYmKw,France,2,1,0
He-1iF79RBPcf0K-GsYmKw,France,2,1,0
6NoBLzoeQEP6SRh2GSi40w,France,4,2,0
6NoBLzoeQEP6SRh2GSi40w,France,4,2,0
BGxPQKWgcNcFgn0sb9msLA,Chinese,6,2,0
BGxPQKWgcNcFgn0sb9msLA,Chinese,6,2,0
xoyij4u56KyhiyXL0hLocA,Chinese,29,2,0
xoyij4u56KyhiyXL0hLocA,Chinese,29,2,0
3pOAiE7W7nDEeVFNy_vmfw,Chinese,30,2,0
3pOAiE7W7nDEeVFNy_vmfw,Chinese,30,2,0
lBFq-P2OGDZy2aPEKgUMfg,Chinese,32,2,0
lBFq-P2OGDZy2aPEKgUMfg,Chinese,32,2,0
8ObY1IkKWvx99nIOqRBshA,Chinese,38,2,0
8ObY1IkKWvx99nIOqRBshA,Chinese,38,2,0
X5HmML-G--nt4lc5VQC2uQ,Chinese,40,2,0
X5HmML-G--nt4lc5VQC2uQ,Chinese,40,2,0
7qvHljqtI4UZEXwpPp3Yug,Chinese,67,2,0
7qvHljqtI4UZEXwpPp3Yug,Chinese,67,2,0
UFeM5FPHjl1y8RQ4tvBSog,Chinese,80,2,0
UFeM5FPHjl1y8RQ4tvBSog,Chinese,80,2,0
XF9MChLaOvtaFV-bReLBqQ,Chinese,101,2,0
XF9MChLaOvtaFV-bReLBqQ,Chinese,101,2,0
Gzwpeu4rw8T-XDYCllegxQ,Italian,303,2,0
Gzwpeu4rw8T-XDYCllegxQ,Italian,303,2,0
laiRlkG_gfzPqLPK4gQy1g,Mexican,2,2.5,0
qM3r8EiwkKmmM4CSTaKugg,France,2,2.5,0
qM3r8EiwkKmmM4CSTaKugg,France,2,2.5,0
laiRlkG_gfzPqLPK4gQy1g,Mexican,2,2.5,0
N9QzfD5sbkbnfdJk227L7g,Chinese,3,2.5,0
d8ccb-rxYqbHL5P2xrYfVQ,Mexican,3,2.5,0
tC6CzF4fxzHJQ4RFUdT30g,France,3,2.5,0
N9QzfD5sbkbnfdJk227L7g,Chinese,3,2.5,0
tC6CzF4fxzHJQ4RFUdT30g,France,3,2.5,0
d8ccb-rxYqbHL5P2xrYfVQ,Mexican,3,2.5,0
gvAzBcK3YZf6UQqOerqF2w,Chinese,4,2.5,0
j9av5V_plJj3LFW8PSFNVw,Korean,4,2.5,0
Jd9ouBzQ5Lm8wmrS77DUGQ,Korean,4,2.5,0
7tblaphsFxRp298WUCxBCg,Korean,4,2.5,0
gvAzBcK3YZf6UQqOerqF2w,Chinese,4,2.5,0
j9av5V_plJj3LFW8PSFNVw,Korean,4,2.5,0
Jd9ouBzQ5Lm8wmrS77DUGQ,Korean,4,2.5,0
7tblaphsFxRp298WUCxBCg,Korean,4,2.5,0
#NAME?,Chinese,7,2.5,0
aZOXAuksT-zYgZdrTYXyVQ,Mexican,7,2.5,0
#NAME?,Chinese,7,2.5,0
aZOXAuksT-zYgZdrTYXyVQ,Mexican,7,2.5,0
fVPF1SCGg37D8gRw1UQIuQ,Chinese,9,2.5,0
fVPF1SCGg37D8gRw1UQIuQ,Chinese,9,2.5,0
oL7qBqrSVNjKMuCDTljKhQ,Korean,10,2.5,0
oL7qBqrSVNjKMuCDTljKhQ,Korean,10,2.5,0
_Acmtq5Nnv4Xmqmz914CUg,Chinese,11,2.5,0
cPbR1NvEQaxtoeFtTF5eOA,Chinese,11,2.5,0
_Acmtq5Nnv4Xmqmz914CUg,Chinese,11,2.5,0
cPbR1NvEQaxtoeFtTF5eOA,Chinese,11,2.5,0
twx9t1a4tf4wSAbVl27zjw,Chinese,12,2.5,0
Qc_JU61t38zIfNvArgbX0g,American,12,2.5,0
JYoCTZrJ0VRTmQFYUz_bSg,Mexican,12,2.5,0
6twnEnKgdgUg7jpVtSaG5g,Korean,12,2.5,0
Qc_JU61t38zIfNvArgbX0g,American,12,2.5,0
twx9t1a4tf4wSAbVl27zjw,Chinese,12,2.5,0
6twnEnKgdgUg7jpVtSaG5g,Korean,12,2.5,0
JYoCTZrJ0VRTmQFYUz_bSg,Mexican,12,2.5,0
YuBLRUuQ7J9rGZzrC91Qmg,Mexican,13,2.5,0
YuBLRUuQ7J9rGZzrC91Qmg,Mexican,13,2.5,0
#NAME?,Korean,16,2.5,0
wtmPjQuCKeFuMdcR5SKEAQ,Chinese,18,2.5,0
4jRVqVqkCNFwV8xxh2Jo3Q,Chinese,18,2.5,0
4O7TcpVdLr6XWlfY5O9sOg,France,18,2.5,0
wtmPjQuCKeFuMdcR5SKEAQ,Chinese,18,2.5,0
4jRVqVqkCNFwV8xxh2Jo3Q,Chinese,18,2.5,0
4O7TcpVdLr6XWlfY5O9sOg,France,18,2.5,0
IregrqaJgF9jEghC5yljFw,Chinese,19,2.5,0
PmnBdxDc11q8n7A80rj0FA,Korean,19,2.5,0
IregrqaJgF9jEghC5yljFw,Chinese,19,2.5,0
PmnBdxDc11q8n7A80rj0FA,Korean,19,2.5,0
Wi367ViFEqzj_b308MqdOA,Chinese,20,2.5,0
xP3sGOzcyK56mY0cnOXU8w,Mexican,20,2.5,0
Wi367ViFEqzj_b308MqdOA,Chinese,20,2.5,0
xP3sGOzcyK56mY0cnOXU8w,Mexican,20,2.5,0
Y7rizwe37H8O1RfKiXrf0Q,Chinese,22,2.5,0
ly_nBcTHykqWvaP-vdZ2lg,Korean,22,2.5,0
Y7rizwe37H8O1RfKiXrf0Q,Chinese,22,2.5,0
ly_nBcTHykqWvaP-vdZ2lg,Korean,22,2.5,0
gcbznFthZ-elsQrYYXrcXQ,Chinese,23,2.5,0
vQTMu1jkFZUIkb_EmYPa9w,Mexican,23,2.5,0
gcbznFthZ-elsQrYYXrcXQ,Chinese,23,2.5,0
vQTMu1jkFZUIkb_EmYPa9w,Mexican,23,2.5,0
OHqazo2j-RLZnLWo_YRnDw,Chinese,28,2.5,0
OHqazo2j-RLZnLWo_YRnDw,Chinese,28,2.5,0
QgTR7mA2kd82KVrIJNuJ3A,Chinese,30,2.5,0
__r8_g1cgDaiDn10cGeJ3Q,Chinese,30,2.5,0
FA_0DX6FwHm1Lnqz_fd9iA,Mexican,30,2.5,0
QgTR7mA2kd82KVrIJNuJ3A,Chinese,30,2.5,0
__r8_g1cgDaiDn10cGeJ3Q,Chinese,30,2.5,0
FA_0DX6FwHm1Lnqz_fd9iA,Mexican,30,2.5,0
_BL1-CT06HGkiA3jcucu2Q,Chinese,31,2.5,0